_id,link,website,request_time,request_date,request_datetime,flat_meta.price,flat_meta.surface,city,order,orga,run
ObjectID(58402a4279baba5e570277d0),www.immobilienscout24.de/expose/88887664,immobilienscout,09:24:18,2016-06-13,2016-06-13T09:24:18Z,300,52.84,magdeburg,iga,private,1
ObjectID(584038f779baba5e57028af8),www.immobilienscout24.de/expose/89394983,immobilienscout,07:53:49,2016-07-16,2016-07-16T07:53:49Z,295.68,52.8,magdeburg,gtp,company,1
ObjectID(5840338c79baba5e570284b2),www.immobilienscout24.de/expose/89217334,immobilienscout,07:50:59,2016-07-05,2016-07-05T07:50:59Z,690,53,frankfurt,gta,private,1
ObjectID(58402a4379baba5e570277d2),www.immobilienscout24.de/expose/88872098,immobilienscout,09:31:40,2016-06-13,2016-06-13T09:31:40Z,301.6,36.66,dortmund,iga,company,1
ObjectID(58402a4379baba5e570277d4),www.immobilienscout24.de/expose/88875900,immobilienscout,09:24:20,2016-06-13,2016-06-13T09:24:20Z,286,37,leipzig,ixtyg,company,1
ObjectID(58402ed079baba5e57027eb0),www.immobilienscout24.de/expose/89050208,immobilienscout,17:11:28,2016-06-23,2016-06-23T17:11:28Z,430,57.49,dresden,tag,company,1
ObjectID(584ebe32c980817b111fb8e7),www.immowelt.de/expose/2BMFN4F,immowelt,17:26:03,2016-09-22,2016-09-22T17:26:03Z,450,60,nürnberg,tgp,company,2
ObjectID(58402a4479baba5e570277d6),www.immobilienscout24.de/expose/88873236,immobilienscout,09:24:26,2016-06-13,2016-06-13T09:24:26Z,515.9,51.59,berlin,pgt,company,1
ObjectID(58402a4879baba5e570277ea),www.immobilienscout24.de/expose/88873502,immobilienscout,09:25:12,2016-06-13,2016-06-13T09:25:12Z,600,54,köln,agi,private,1
ObjectID(584ec049c980817b111fba54),www.immowelt.de/expose/2B8N74K,immowelt,17:24:04,2016-09-30,2016-09-30T17:24:04Z,555,50,köln,tgp,private,2
ObjectID(5846b48079baba5e5702a796),www.immobilienscout24.de/expose/90677184,immobilienscout,07:28:22,2016-10-11,2016-10-11T07:28:22Z,500,47,frankfurt,git,company,2
ObjectID(58402bd879baba5e57027a20),www.immobilienscout24.de/expose/88933696,immobilienscout,17:13:31,2016-06-15,2016-06-15T17:13:31Z,230,34.82,dresden,gia,company,1
ObjectID(58469ea679baba5e5702a25c),www.immobilienscout24.de/expose/90455686,immobilienscout,07:25:58,2016-09-25,2016-09-25T07:25:58Z,550,52,köln,gia,company,2
ObjectID(5840306879baba5e570280e8),www.immobilienscout24.de/expose/89115756,immobilienscout,17:08:25,2016-06-28,2016-06-28T17:08:25Z,233.74,51.1,dortmund,tig,company,1
ObjectID(58402a4d79baba5e570277fe),www.immobilienscout24.de/expose/88884525,immobilienscout,09:25:48,2016-06-13,2016-06-13T09:25:48Z,460,60,nürnberg,itg,company,1
ObjectID(5840365479baba5e5702881e),www.immobilienscout24.de/expose/89318666,immobilienscout,17:07:16,2016-07-11,2016-07-11T17:07:16Z,265,30,dresden,pgt,company,1
ObjectID(58469cff79baba5e5702a056),www.immobilienscout24.de/expose/90373327,immobilienscout,17:32:48,2016-09-20,2016-09-20T17:32:48Z,398.08,49.76,nürnberg,gia,company,2
ObjectID(58402a4e79baba5e57027804),www.immobilienscout24.de/expose/88856289,immobilienscout,09:36:55,2016-06-13,2016-06-13T09:36:55Z,315.17,54.34,magdeburg,pgt,company,1
ObjectID(58469cfe79baba5e5702a052),www.immobilienscout24.de/expose/90381360,immobilienscout,17:32:19,2016-09-20,2016-09-20T17:32:19Z,340,49,dresden,aig,company,2
ObjectID(584034f179baba5e57028684),www.immobilienscout24.de/expose/89264024,immobilienscout,17:14:02,2016-07-07,2016-07-07T17:14:02Z,345.91,59.95,berlin,git,company,1
ObjectID(58402eaa79baba5e57027e74),www.immobilienscout24.de/expose/87291846,immobilienscout,08:01:17,2016-06-23,2016-06-23T08:01:17Z,393.59,56.47,berlin,ig,company,1
ObjectID(58402a4f79baba5e57027808),www.immobilienscout24.de/expose/88885299,immobilienscout,09:26:28,2016-06-13,2016-06-13T09:26:28Z,620,50,münchen,it,private,1
ObjectID(58404d6b79baba5e57028f00),www.immowelt.de/expose/2ACN94B,immowelt,07:52:00,2016-06-21,2016-06-21T07:52:00Z,460,40,hamburg,gip,private,1
ObjectID(5840315479baba5e5702822e),www.immobilienscout24.de/expose/89159313,immobilienscout,17:13:43,2016-06-30,2016-06-30T17:13:43Z,399,42,hamburg,gta,company,1
ObjectID(58469b4879baba5e57029e58),www.immobilienscout24.de/expose/78059481,immobilienscout,07:30:58,2016-09-17,2016-09-17T07:30:58Z,289,58.92,leipzig,pig,company,2
ObjectID(58402a5279baba5e57027814),www.immobilienscout24.de/expose/88871710,immobilienscout,09:32:26,2016-06-13,2016-06-13T09:32:26Z,439.9,53,köln,apg,company,1
ObjectID(58402b4579baba5e57027960),www.immobilienscout24.de/expose/88911295,immobilienscout,17:20:12,2016-06-14,2016-06-14T17:20:12Z,209,33.96,magdeburg,pgt,company,1
ObjectID(5840330579baba5e57028404),www.immobilienscout24.de/expose/89198793,immobilienscout,07:47:50,2016-07-04,2016-07-04T07:47:50Z,399,59,leipzig,atg,private,1
ObjectID(58402a5479baba5e5702781c),www.immobilienscout24.de/expose/88844688,immobilienscout,09:24:52,2016-06-13,2016-06-13T09:24:52Z,500,60,nürnberg,gpi,private,1
ObjectID(5840348979baba5e570285ec),www.immobilienscout24.de/expose/66123523,immobilienscout,17:32:51,2016-07-06,2016-07-06T17:32:51Z,650,42,frankfurt,atgg,private,1
ObjectID(58402a5579baba5e57027820),www.immobilienscout24.de/expose/88857637,immobilienscout,09:31:48,2016-06-13,2016-06-13T09:31:48Z,540,40,nürnberg,tig,company,1
ObjectID(58402cc179baba5e57027b6c),www.immobilienscout24.de/expose/88979559,immobilienscout,07:48:09,2016-06-18,2016-06-18T07:48:09Z,254,46.11,leipzig,pgi,company,1
ObjectID(58469aff79baba5e57029df2),www.immobilienscout24.de/expose/90302145,immobilienscout,17:28:29,2016-09-16,2016-09-16T17:28:29Z,330,43,dortmund,gtp,private,2
ObjectID(58402a5679baba5e57027822),www.immobilienscout24.de/expose/88863777,immobilienscout,09:36:55,2016-06-13,2016-06-13T09:36:55Z,380,33,frankfurt,igt,company,1
ObjectID(58402a5679baba5e57027824),www.immobilienscout24.de/expose/88870210,immobilienscout,09:26:03,2016-06-13,2016-06-13T09:26:03Z,240,35,dortmund,igt,private,1
