_id,link,website,request_time,request_date,request_datetime,flat_meta.price,flat_meta.rooms,flat_meta.surface,flat_meta.title,city,order,stage
ObjectID(58402a9479baba5e57027850),www.immobilienscout24.de/expose/88896099,immobilienscout,18:50:20,2016-06-13,2016-06-13T18:50:20Z,398,300,59,"Zuschnappen! 3 Raumwohnung, Tageslichtbad, Balkon, EBK, WG-geeignet, super Gru",leipzig,NA,4
ObjectID(58402aef79baba5e570278ce),www.immobilienscout24.de/expose/88599431,immobilienscout,07:21:39,2016-06-14,2016-06-14T07:21:39Z,498.75,200,57.15,Hell und renoviert ? ruhig und zentral: 2-Zimmer-Wohnung in Köln-Kalk,köln,NA,4
ObjectID(58402c1779baba5e57027a5a),www.immobilienscout24.de/expose/88955863,immobilienscout,07:48:55,2016-06-17,2016-06-17T07:48:55Z,342,300,60,"Laminat, Tageslichtbad, Balkon, perfekt für kleine Familie",leipzig,NA,4
ObjectID(58402e0e79baba5e57027d58),www.immobilienscout24.de/expose/89022833,immobilienscout,17:12:31,2016-06-21,2016-06-21T17:12:31Z,550,250,55,2 1/2 Wohnung,hamburg,NA,1
ObjectID(58402e0f79baba5e57027d5a),www.immobilienscout24.de/expose/89021280,immobilienscout,17:12:27,2016-06-21,2016-06-21T17:12:27Z,585,200,45,Klein aber Fein! 45 qm Maisonett-Whg im schönen Teil von Stellingen nahe an Ei,hamburg,NA,1
ObjectID(58402e1179baba5e57027d60),www.immobilienscout24.de/expose/89015931,immobilienscout,17:12:44,2016-06-21,2016-06-21T17:12:44Z,357,300,59.4,* 3-Raum-Wohnung * EBK * Laminat * Leipzig Gohlis-Nord *,leipzig,NA,1
ObjectID(58402e1379baba5e57027d68),www.immobilienscout24.de/expose/89015366,immobilienscout,17:14:37,2016-06-21,2016-06-21T17:14:37Z,450,100,33,1-Zimmer-Wohnung OHNE PROVISION zu vermieten,münchen,NA,1
ObjectID(58402e1479baba5e57027d6c),www.immobilienscout24.de/expose/89020639,immobilienscout,17:20:12,2016-06-21,2016-06-21T17:20:12Z,330,200,53.01,2-Zimmer Wohnung in Böhlitz-Ehrenberg,leipzig,NA,1
ObjectID(58402e1579baba5e57027d6e),www.immobilienscout24.de/expose/89020124,immobilienscout,17:14:12,2016-06-21,2016-06-21T17:14:12Z,370,200,39,Singlewohnung,köln,NA,1
ObjectID(5840322c79baba5e57028328),www.immobilienscout24.de/expose/88537219,immobilienscout,07:57:47,2016-07-02,2016-07-02T07:57:47Z,550,200,52,TOP 2 ZIMMER WOHNUNG!,münchen,NA,2
ObjectID(5840327479baba5e57028376),www.immobilienscout24.de/expose/89188307,immobilienscout,17:12:38,2016-07-02,2016-07-02T17:12:38Z,325,200,59,Wohnung mit EBK*Balkon*Lift*Nahe Karl-Heine-Str.,leipzig,NA,4
ObjectID(584032e179baba5e570283e8),www.immobilienscout24.de/expose/88382752,immobilienscout,17:09:53,2016-07-03,2016-07-03T17:09:53Z,352,100,31.5,Frisch sanierte 1.Zimmerwohnung mit Küche (Video),berlin,NA,4
ObjectID(5840334a79baba5e57028468),www.immobilienscout24.de/expose/89208000,immobilienscout,17:12:55,2016-07-04,2016-07-04T17:12:55Z,260,200,41.63,niedliche Single-Wohnung mit Loggia,leipzig,NA,4
ObjectID(5840343d79baba5e5702858c),www.immobilienscout24.de/expose/89233334,immobilienscout,07:51:57,2016-07-06,2016-07-06T07:51:57Z,310,200,55.51,Geräumig Helle Wohnung * Super Grundriss * Laminat * Sehr Gute Verkehrsanbindu,leipzig,NA,4
ObjectID(5840355c79baba5e57028710),www.immobilienscout24.de/expose/89282816,immobilienscout,17:15:22,2016-07-08,2016-07-08T17:15:22Z,450,200,58,Tolle Wohnung mitten in der Neustadt mit Balkon !!!,dresden,NA,4
ObjectID(5840356479baba5e57028730),www.immobilienscout24.de/expose/89281232,immobilienscout,16:40:40,2016-07-08,2016-07-08T16:40:40Z,347,200,53.47,Zur Angebotsübersicht Tolle Wohnung mit Fußbodenheizung Lift und Erker in Inne,dresden,NA,4
ObjectID(5840356679baba5e57028736),www.immobilienscout24.de/expose/89282930,immobilienscout,16:40:58,2016-07-08,2016-07-08T16:40:58Z,367,200,50.3,Top Singlewohnung in Pieschen mit Einbauküche!!!,dresden,NA,4
ObjectID(584035e779baba5e570287a2),www.immobilienscout24.de/expose/89286942,immobilienscout,17:11:50,2016-07-09,2016-07-09T17:11:50Z,247,200,45,Liebevoll sanierte 2-R-Whg. mit Süd/West-Balkon bei Park im schönen Coppistraß,leipzig,NA,4
ObjectID(584036af79baba5e57028892),www.immobilienscout24.de/expose/89326390,immobilienscout,07:58:07,2016-07-12,2016-07-12T07:58:07Z,590,200,45,Schöne 2 Zimmer-Wohnung in Moosach ab sofort,münchen,NA,1
ObjectID(584036af79baba5e57028894),www.immobilienscout24.de/expose/83421852,immobilienscout,07:51:36,2016-07-12,2016-07-12T07:51:36Z,520,100,38,"Möbliertes Studio in der West-City Berlin zur Untermiete, September 2016 bis M",berlin,NA,1
ObjectID(584036b879baba5e570288ae),www.immobilienscout24.de/expose/72736880,immobilienscout,07:52:28,2016-07-12,2016-07-12T07:52:28Z,303,200,48.87,Wunderschöne 2-R-W im Dunckerviertel - ruhig und grün gelegen,leipzig,NA,1
ObjectID(584038b679baba5e57028ac4),www.immobilienscout24.de/expose/53584118,immobilienscout,17:11:53,2016-07-15,2016-07-15T17:11:53Z,330,200,55,"gemütliche 2-Raum-Wohnung in der Herderstraße 11, Hochpaterre, ruhige Hoflage",magdeburg,NA,4
ObjectID(58404ad479baba5e57028bfa),www.immowelt.de/expose/2ASKB48,immowelt,09:24:43,2016-06-13,2016-06-13T09:24:43Z,360,NA,57,"2ZKB Balkon, ruhige Stadtrandlage, TG- Stellplatz",leipzig,NA,4
ObjectID(58404ae379baba5e57028c30),www.immowelt.de/expose/2A2MB48,immowelt,09:26:45,2016-06-13,2016-06-13T09:26:45Z,225,NA,42,1 ZKB mit Wohnküche und Parkettfußboden,leipzig,NA,4
ObjectID(58404b2c79baba5e57028c7a),www.immowelt.de/expose/29CHJ4E,immowelt,18:57:40,2016-06-13,2016-06-13T18:57:40Z,489.63,NA,51.54,1-Zimmer Wohnung 51m² - Erstbezug nach Sanierung,berlin,NA,4
ObjectID(58404bc679baba5e57028d20),www.immowelt.de/expose/2ALU749,immowelt,07:33:12,2016-06-15,2016-06-15T07:33:12Z,244.86,NA,42,1 ZKB mit Wohnküche und Parkettfußboden,leipzig,NA,4
