_id,link,website,request_time,request_date,request_datetime,flat_meta.price,flat_meta.rooms,flat_meta.surface,flat_meta.title,city,order,orga
ObjectID(58402a4279baba5e570277d0),www.immobilienscout24.de/expose/88887664,immobilienscout,09:24:18,2016-06-13,2016-06-13T09:24:18Z,300,200,52.84,2-Zimmer-Wohnung im beliebten Stadtfeld-Ost,magdeburg,iga,private
ObjectID(58402a4379baba5e570277d2),www.immobilienscout24.de/expose/88872098,immobilienscout,09:31:40,2016-06-13,2016-06-13T09:31:40Z,301.6,100,36.66,1 Zimmer + Küche + Diele + Bad,dortmund,iga,company
ObjectID(58402a4379baba5e570277d4),www.immobilienscout24.de/expose/88875900,immobilienscout,09:24:20,2016-06-13,2016-06-13T09:24:20Z,286,100,37,"Zentrum Süd, direkt am Leuschner Platz - zentraler geht fast nicht!!!",leipzig,ixtyg,company
ObjectID(58402a4479baba5e570277d6),www.immobilienscout24.de/expose/88873236,immobilienscout,09:24:26,2016-06-13,2016-06-13T09:24:26Z,515.9,200,51.59,*** Süße 2 Zimmerwohnung in Adlershof ***,berlin,pgt,company
ObjectID(58402a4479baba5e570277d8),www.immobilienscout24.de/expose/88881361,immobilienscout,09:24:25,2016-06-13,2016-06-13T09:24:25Z,398,100,45,1 Zimmer-Appartement in Köln-Vingst von privat,köln,igt,private
ObjectID(58402a4579baba5e570277da),www.immobilienscout24.de/expose/88866865,immobilienscout,09:24:33,2016-06-13,2016-06-13T09:24:33Z,288,100,47.73,***LUXUSSANIERUNG ~PARKETT~ EINBAUKÜCHE ~ MODERNES BAD *** www.Romeo-Immobilie,leipzig,gia,company
ObjectID(58402a4579baba5e570277dc),www.immobilienscout24.de/expose/88871300,immobilienscout,09:24:34,2016-06-13,2016-06-13T09:24:34Z,612.29,200,53.71,Modernisierung in 2014! Auf gute Nachbarschaft: zentrale 2-Zimmer-Wohnung,frankfurt,tag,company
ObjectID(58402a4579baba5e570277de),www.immobilienscout24.de/expose/88866900,immobilienscout,09:24:40,2016-06-13,2016-06-13T09:24:40Z,336,200,56,*** 2 RAUM-WOHNUNG ~ DIELENFUSSBODEN ~ TAGESLICHTBAD MIT WANNE ***www.Romeo-Im,leipzig,gip,company
ObjectID(58402a4679baba5e570277e0),www.immobilienscout24.de/expose/88856032,immobilienscout,09:24:53,2016-06-13,2016-06-13T09:24:53Z,345.45,300,59.56,Wohnungsangebot Fröbelstraße 25,magdeburg,gxxpya,company
ObjectID(58402a4679baba5e570277e2),www.immobilienscout24.de/expose/88887380,immobilienscout,09:24:58,2016-06-13,2016-06-13T09:24:58Z,270,100,35,PFIFFIG & RICHTIG GEMÜTLICH! TOLLE 1-ZI.-WHG. MIT KÜCHE...,nürnberg,gat,company
